Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,1,0,0,0,0,0,2,0,16,26,0,0,2.6,1,0,0,0,1.02,1
Hall,NEW,DEF,MrCanter,True,69,0,0,1,0,0,0,0,1,0,0,0,17,14.2,14.7,2,3.1,1,0,0.02,0.02,1.33,1
Aït-Nouri,WOL,DEF,MrCanter,True,83,0,0,0,2,0,0,0,0,0,0,0,6,9,3.5,1,1.4,1,0.02,0.02,0.04,1.24,1
Mitchell,CRY,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,6,13.8,27,6,4.7,1,0.12,0.03,0.15,1.59,1
Saka,ARS,MID,MrCanter,True,79,1,1,1,0,0,0,0,1,0,0,2,42,64.2,61.7,78,20.4,1,0.35,0.37,0.72,0.32,1
Gordon,NEW,MID,MrCanter,True,69,0,0,1,0,0,0,0,0,0,0,0,12,2.4,12.8,2,1.7,1,0,0.02,0.02,1.33,1
Mbeumo,BRE,MID,MrCanter,True,89,1,0,0,1,0,0,0,0,0,0,2,35,40.8,50.2,17,10.8,1,0.09,0.45,0.54,1.17,1
Summerville,WHU,MID,MrCanter,True,17,0,0,0,1,0,0,0,0,0,0,0,9,8.2,29.4,6,4.4,0,0,0.17,0.17,0.27,1
Kamada,CRY,MID,MrCanter,True,69,0,0,0,1,0,0,0,1,0,0,0,2,7.8,25,4,3.7,1,0,0.06,0.06,0.64,1
Muniz,FUL,FWD,MrCanter,True,77,0,0,1,0,0,0,0,0,0,0,0,10,9.4,20.4,28,5.8,1,0.11,0,0.11,1.57,1
Wood,NFO,FWD,MrCanter,True,71,1,0,1,0,0,0,0,0,0,0,3,30,32.2,5.7,21,5.9,1,0.71,0.02,0.73,0.63,1
Forster,TOT,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maatsen,AVL,DEF,MrCanter,False,16,0,0,0,0,0,0,0,0,0,0,0,5,8.8,10.5,0,1.9,0,0,0.04,0.04,1.06,1
Archer,SOU,FWD,MrCanter,False,19,0,0,0,0,0,0,0,0,0,0,0,4,1,0.1,22,2.3,0,0.19,0,0.19,0,1
J.Timber,ARS,DEF,MrCanter,False,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,8,0.8,0,0.02,0.01,0.03,0.15,1
Vicario,TOT,GKP,MrCanter,True,90,0,0,1,0,0,0,0,0,0,1,0,30,13,0,0,1.3,1,0,0,0,1,2
Mitchell,CRY,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,7,22,28.8,4,5.5,1,0,0.08,0.08,1.39,2
Aït-Nouri,WOL,DEF,MrCanter,True,67,0,1,0,5,0,0,0,1,0,0,0,-4,14,10.7,6,3.1,1,0.06,0.16,0.22,1.24,2
Hall,NEW,DEF,MrCanter,True,21,0,0,0,0,0,0,0,0,0,0,0,6,17.2,15.3,2,3.5,0,0,0.1,0.1,0.42,2
Maatsen,AVL,DEF,MrCanter,True,14,0,0,0,1,0,0,0,0,0,0,0,0,4.4,15.1,0,2,0,0,0.09,0.09,0.38,2
Saka,ARS,MID,MrCanter,True,87,0,1,1,0,0,0,0,0,0,0,0,21,27.8,27.4,27,8.2,1,0.05,0.1,0.15,1.25,2
Gordon,NEW,MID,MrCanter,True,88,1,0,0,1,0,0,0,0,0,0,3,38,45.8,59.8,40,14.6,1,0.65,0.38,1.03,2.15,2
Mbeumo,BRE,MID,MrCanter,True,90,0,0,0,2,0,0,0,1,0,0,0,6,5.4,17.7,7,3,1,0.03,0.12,0.15,2.65,2
Kamada,CRY,MID,MrCanter,True,27,0,0,0,2,0,0,0,0,0,0,0,7,9.8,23.9,0,3.4,0,0,0.03,0.03,0.56,2
Muniz,FUL,FWD,MrCanter,True,79,0,0,0,1,0,0,0,0,0,0,0,8,7.6,20.8,72,10,1,0.58,0.01,0.59,0.46,2
Wood,NFO,FWD,MrCanter,True,74,0,0,1,0,0,0,0,1,0,0,0,5,6.2,16.9,40,6.3,1,0.24,0.09,0.33,0.14,2
Forster,TOT,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Summerville,WHU,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
J.Timber,ARS,DEF,MrCanter,False,78,0,0,1,0,0,0,0,0,0,0,0,24,3.4,4.7,2,1,1,0,0.01,0.01,1.12,2
Broja,EVE,FWD,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,2,0,0,0,0,0,1,0,4,9.8,0,0,1,1,0,0,0,1.57,3
Kelly,NEW,DEF,MrCanter,True,67,0,1,0,1,0,0,0,1,0,0,0,17,25.2,14.2,7,4.6,1,0.19,0.09,0.28,0.99,3
Aït-Nouri,WOL,DEF,MrCanter,True,59,0,0,0,1,0,0,0,0,0,0,0,-2,8,23.5,25,5.7,1,0.34,0.02,0.36,0.36,3
J.Timber,ARS,DEF,MrCanter,True,79,0,0,0,1,0,0,0,1,0,0,0,3,12.8,10.6,4,2.7,1,0,0.02,0.02,1.55,3
Maatsen,AVL,DEF,MrCanter,True,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0.4,0,0.01,0,0.01,0.05,3
Saka,ARS,MID,MrCanter,True,90,0,1,0,1,0,0,0,0,0,0,1,21,34.8,21.2,88,14.4,1,0.95,0.2,1.15,1.83,3
Gordon,NEW,MID,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,5,12.2,43.3,2,5.8,1,0,0.31,0.31,1.26,3
Mbeumo,BRE,MID,MrCanter,True,90,2,0,0,1,0,0,0,1,0,0,3,64,82.8,41,54,17.8,1,0.81,0.34,1.15,1.57,3
Kamada,CRY,MID,MrCanter,True,87,0,0,0,1,0,0,0,0,0,0,0,12,4.4,13.6,22,4,1,0.12,0.03,0.15,1.98,3
Muniz,FUL,FWD,MrCanter,True,78,0,0,0,1,0,0,0,0,0,0,0,6,2.6,0.5,21,2.4,1,0.34,0.01,0.35,0.36,3
Wood,NFO,FWD,MrCanter,True,90,1,0,0,1,0,0,0,0,0,0,3,31,41.2,7.3,81,13,1,0.47,0.01,0.48,0.74,3
Forster,TOT,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Archer,SOU,FWD,MrCanter,False,45,0,0,0,2,0,0,0,0,0,0,0,4,4.2,0.5,0,0.5,0,0,0,0,1.81,3
Mitchell,CRY,DEF,MrCanter,False,90,0,0,0,1,0,0,0,0,0,0,0,12,13.8,1.5,5,2,1,0.08,0,0.08,2.27,3
Sterling,ARS,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,1,0,0,0,1,0,3,0,8,27.4,0,0,2.7,1,0,0,0,0.73,4
Kelly,NEW,DEF,MrCanter,True,3,0,0,0,0,0,0,0,0,0,0,0,3,4.4,0,0,0.4,0,0,0,0,0.12,4
J.Timber,ARS,DEF,MrCanter,True,90,0,0,1,0,0,0,0,1,0,0,0,20,13.4,1.1,7,2.2,1,0.05,0.01,0.06,0.74,4
Mitchell,CRY,DEF,MrCanter,True,88,0,1,0,2,0,0,0,0,0,0,0,23,37.2,58,21,11.6,1,0.04,0.66,0.7,1.23,4
Sterling,ARS,MID,MrCanter,True,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0.2,0,0,0,0,0.13,4
Saka,ARS,MID,MrCanter,True,85,0,1,1,0,0,0,0,0,0,0,1,25,27,35,13,7.5,1,0.05,0.35,0.4,0.65,4
Gordon,NEW,MID,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,17,11.8,28.9,14,5.5,1,0.18,0.18,0.36,0.99,4
Mbeumo,BRE,MID,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,12,9.4,49.1,11,7,1,0.19,0.35,0.54,2.17,4
Kamada,CRY,MID,MrCanter,True,26,0,0,0,0,0,0,0,0,0,0,0,2,4.8,4.3,7,1.6,0,0.09,0.01,0.1,0.01,4
Muniz,FUL,FWD,MrCanter,True,17,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.1,2,0.2,0,0,0,0,0.33,4
Wood,NFO,FWD,MrCanter,True,80,0,0,1,0,0,0,0,0,0,0,0,4,4.4,10.6,17,3.2,1,0.13,0.01,0.14,0.85,4
Forster,TOT,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Archer,SOU,FWD,MrCanter,False,61,0,0,0,2,0,0,1,0,0,0,0,-5,4.2,1.7,43,4.9,1,0.83,0,0.83,1.85,4
Aït-Nouri,WOL,DEF,MrCanter,False,85,0,0,0,2,0,0,0,1,0,0,0,5,18,2.4,6,2.6,1,0,0.03,0.03,0.83,4
Maatsen,AVL,DEF,MrCanter,False,21,0,0,0,0,0,0,0,0,0,0,0,9,3.4,36,4,4.3,0,0,0.4,0.4,0.23,4
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,1,0,0,0,0,0,5,0,17,40,0,0,4,1,0,0,0,0.8,5
Kelly,NEW,DEF,MrCanter,True,45,0,0,0,2,0,0,0,0,0,0,0,-4,8,1.2,0,0.9,1,0,0,0,1.28,5
J.Timber,ARS,DEF,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,3,12,0,0,1.2,1,0,0,0,1.68,5
Mitchell,CRY,DEF,MrCanter,True,90,0,0,1,0,0,0,0,0,0,0,0,27,24.4,19.5,2,4.6,1,0,0.08,0.08,1.7,5
Sancho,CHE,MID,MrCanter,True,56,0,1,0,0,0,0,0,0,0,0,0,15,18.8,30,6,5.5,1,0,0.21,0.21,0.5,5
Saka,ARS,MID,MrCanter,True,45,0,1,0,1,0,0,0,0,0,0,0,19,18.6,28.8,0,4.7,1,0,0.41,0.41,0.6,5
Gordon,NEW,MID,MrCanter,True,82,0,0,0,2,0,0,0,0,0,0,0,11,8.6,33.8,25,6.7,1,0.39,0.08,0.47,1.83,5
Mbeumo,BRE,MID,MrCanter,True,90,1,0,0,3,0,0,0,0,0,0,1,31,43.2,2.4,55,10.1,1,0.64,0.02,0.66,3.52,5
Archer,SOU,FWD,MrCanter,True,58,0,0,0,0,0,0,0,0,0,0,0,-7,1,3,34,3.8,1,1.26,0.01,1.27,1.08,5
Muniz,FUL,FWD,MrCanter,True,16,0,1,0,0,0,0,0,0,0,0,0,16,17.4,10.3,20,4.8,0,0.16,0.01,0.17,0.3,5
Wood,NFO,FWD,MrCanter,True,71,1,0,0,2,0,0,0,0,0,0,2,32,33.4,0.3,17,5.1,1,0.79,0,0.79,0.87,5
Johnstone,WOL,GKP,MrCanter,False,90,0,0,0,3,0,0,0,0,0,0,0,-3,4.4,0,0,0.4,1,0,0,0,1.73,5
Sterling,ARS,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Maatsen,AVL,DEF,MrCanter,False,45,0,0,0,0,0,0,0,0,0,0,0,1,4,1.8,6,1.2,0,0,0.02,0.02,0,5
Aït-Nouri,WOL,DEF,MrCanter,False,90,0,0,0,3,0,0,0,1,0,0,0,-3,4.6,4.4,16,2.5,1,0.13,0.02,0.15,1.73,5
Vicario,TOT,GKP,MrCanter,True,90,0,0,1,0,0,0,0,0,0,2,0,31,19,0,0,1.9,1,0,0,0,0.96,6
J.Timber,ARS,DEF,MrCanter,True,90,0,1,0,2,0,0,0,0,0,0,0,25,45.6,82.8,11,13.9,1,0.21,0.12,0.33,0.32,6
Mitchell,CRY,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,14,21.4,2.1,4,2.8,1,0,0.01,0.01,0.89,6
Maatsen,AVL,DEF,MrCanter,True,6,0,0,0,0,0,0,0,0,0,0,0,3,1.4,1,0,0.2,0,0,0,0,0.07,6
Saka,ARS,MID,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,1,37,38.6,114.3,62,21.5,1,0.29,0.79,1.08,0.32,6
Gordon,NEW,MID,MrCanter,True,90,1,0,0,1,0,0,0,0,0,0,2,29,42.6,32.3,23,9.8,1,0.79,0.1,0.89,0.91,6
Mbeumo,BRE,MID,MrCanter,True,90,1,0,0,1,0,0,0,0,0,0,2,27,42.4,21.6,38,10.2,1,0.25,0.41,0.66,0.99,6
Sterling,ARS,MID,MrCanter,True,16,0,0,0,0,0,0,0,0,0,0,0,4,1.2,2.3,4,0.8,0,0,0.03,0.03,0,6
Sancho,CHE,MID,MrCanter,True,70,0,2,0,2,0,0,0,0,0,0,1,31,22.8,15.5,9,4.7,1,0.08,0.22,0.3,0.88,6
Wood,NFO,FWD,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,3,3.4,1.3,0,0.5,1,0,0.02,0.02,1.33,6
Archer,SOU,FWD,MrCanter,True,14,0,0,0,0,0,0,0,0,0,0,0,4,1.2,3.8,2,0.7,0,0,0,0,0.09,6
Johnstone,WOL,GKP,MrCanter,False,90,0,0,0,2,0,0,0,0,0,4,0,12,35.6,0,0,3.6,1,0,0,0,2.54,6
Muniz,FUL,FWD,MrCanter,False,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,0,0.1,0,0,0,0,0.15,6
Kelly,NEW,DEF,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Aït-Nouri,WOL,DEF,MrCanter,False,90,1,0,0,2,0,0,0,0,0,0,2,25,48.4,24.3,33,10.6,1,0.38,0.02,0.4,2.54,6
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,3,0,0,0,0,0,1,0,6,12.4,0,0,1.2,1,0,0,0,1.82,7
Mitchell,CRY,DEF,MrCanter,True,59,0,0,0,1,0,0,0,0,0,0,0,6,12.4,1.2,0,1.4,1,0,0,0,0.87,7
Aït-Nouri,WOL,DEF,MrCanter,True,90,1,1,0,5,0,0,0,0,0,0,0,17,62.8,52.4,23,13.8,1,0.06,0.22,0.28,4.25,7
Hall,NEW,DEF,MrCanter,True,90,0,0,1,0,0,0,0,1,0,0,0,21,17,20.8,4,4.2,1,0,0.12,0.12,0.67,7
Saka,ARS,MID,MrCanter,True,90,1,2,0,1,0,0,0,0,0,0,3,67,84.2,90,73,24.7,1,0.31,0.93,1.24,0.65,7
Gordon,NEW,MID,MrCanter,True,90,0,0,1,0,0,0,1,0,0,0,0,5,9,21.1,35,6.5,1,0.97,0.14,1.11,0.67,7
Mbeumo,BRE,MID,MrCanter,True,90,1,0,0,3,0,0,0,0,0,0,1,38,46.6,47.3,24,11.8,1,0.84,0.29,1.13,1.05,7
Sterling,ARS,MID,MrCanter,True,59,0,0,0,1,0,0,0,0,0,0,0,2,3.6,12.8,29,4.5,1,0.33,0.02,0.35,0.32,7
Sancho,CHE,MID,MrCanter,True,89,0,0,0,1,0,0,0,0,0,0,0,18,11.8,42.5,10,6.4,1,0,0.26,0.26,0.59,7
Muniz,FUL,FWD,MrCanter,True,13,1,0,0,1,0,0,0,0,0,0,1,28,33,0.1,17,5,0,0.22,0,0.22,0.23,7
Wood,NFO,FWD,MrCanter,True,81,1,0,0,1,0,0,0,0,0,0,2,32,35.2,3.3,19,5.8,1,0.16,0,0.16,1.24,7
Johnstone,WOL,GKP,MrCanter,False,90,0,0,0,5,0,0,0,0,0,7,0,2,53.2,0,0,5.3,1,0,0,0,4.25,7
J.Timber,ARS,DEF,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Maatsen,AVL,DEF,MrCanter,False,5,0,0,0,0,0,0,0,0,0,0,0,4,3,14.7,2,2,0,0,0.09,0.09,0.1,7
Archer,SOU,FWD,MrCanter,False,63,1,0,0,3,0,0,0,0,0,0,1,32,34.2,1.6,17,5.3,0,0.06,0,0.06,2.11,7
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,1,0,0,0,0,0,2,0,12,18.6,0,0,1.9,1,0,0,0,0.78,8
Aït-Nouri,WOL,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,1,28,11.2,0,3.9,1,0,0,0,1.62,8
Mitchell,CRY,DEF,MrCanter,True,73,0,0,0,1,0,0,0,0,0,0,0,2,8.4,1.4,0,1,1,0,0,0,1.56,8
Hall,NEW,DEF,MrCanter,True,90,0,0,0,1,0,0,0,1,0,0,0,9,24.8,38.8,4,6.8,1,0,0.1,0.1,1.11,8
Saka,ARS,MID,MrCanter,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Gordon,NEW,MID,MrCanter,True,84,0,0,0,1,0,0,0,0,0,0,0,11,13.6,39.7,63,11.6,1,0.49,0.17,0.66,0.9,8
Mbeumo,BRE,MID,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,15,24.4,33.7,4,6.2,1,0.03,0.05,0.08,1.33,8
Sterling,ARS,MID,MrCanter,True,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,12,1.2,1,0,0,0,0.14,8
Sancho,CHE,MID,MrCanter,True,45,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9,10,1.4,1,0,0.03,0.03,1.15,8
Wood,NFO,FWD,MrCanter,True,83,1,0,1,0,0,0,0,0,0,0,1,30,34,10.9,54,9.9,1,0.82,0.01,0.83,0.97,8
Archer,SOU,FWD,MrCanter,True,67,1,0,0,1,0,0,0,0,0,0,3,31,31.2,1.4,79,11.2,1,1.02,0,1.02,1.95,8
Johnstone,WOL,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Muniz,FUL,FWD,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
J.Timber,ARS,DEF,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Maatsen,AVL,DEF,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,1,0,0,0,0,0,5,0,20,35.4,0,0,3.5,1,0,0,0,0.83,9
Cash,AVL,DEF,MrCanter,True,90,0,0,0,1,0,0,0,1,0,0,0,11,16.2,16,0,3.2,1,0,0.14,0.14,0.31,9
Mitchell,CRY,DEF,MrCanter,True,90,0,0,1,0,0,0,0,0,0,0,0,25,11.8,12.2,2,2.6,1,0,0.04,0.04,0.72,9
Aït-Nouri,WOL,DEF,MrCanter,True,90,1,0,0,2,0,0,0,1,0,0,0,16,46.8,13.3,17,7.7,1,0.06,0.01,0.07,1.31,9
J.Timber,ARS,DEF,MrCanter,True,75,0,0,0,1,0,0,0,0,0,0,0,4,14.8,11.6,2,2.8,1,0,0.02,0.02,0.54,9
Saka,ARS,MID,MrCanter,True,84,1,0,0,2,0,0,0,0,0,0,2,30,34,1.4,24,5.9,1,0.23,0.01,0.24,0.85,9
Mbeumo,BRE,MID,MrCanter,True,90,2,0,0,3,0,0,0,0,0,0,3,52,76.4,18.5,36,13.1,1,0.91,0.38,1.29,1.3,9
Matheus N.,MCI,MID,MrCanter,True,85,0,1,1,0,0,0,0,0,0,0,0,25,20.6,41.1,21,8.3,1,0.06,0.56,0.62,0.17,9
Muniz,FUL,FWD,MrCanter,True,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0.1,0,0,0,0,0,0,0.37,9
Wood,NFO,FWD,MrCanter,True,80,2,0,0,1,0,0,0,0,0,0,3,60,66.4,16.1,40,12.3,1,0.35,0.01,0.36,0.76,9
Archer,SOU,FWD,MrCanter,True,86,0,0,0,1,0,0,0,0,0,0,0,1,4.2,1.3,6,1.2,1,0.1,0.05,0.15,2.42,9
Johnstone,WOL,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Gordon,NEW,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Sancho,CHE,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Hall,NEW,DEF,MrCanter,False,88,0,1,0,2,0,0,0,0,0,0,0,24,40.2,61.4,2,10.4,1,0,0.78,0.78,1.64,9
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,1,0,0,0,0,0,1,0,6,6.4,0,0,0.6,1,0,0,0,1.86,10
Aït-Nouri,WOL,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,-2,5.4,2.8,8,1.6,1,0.07,0.02,0.09,2.51,10
Mitchell,CRY,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,8,8.2,16.3,5,3,1,0.06,0.11,0.17,1.53,10
J.Timber,ARS,DEF,MrCanter,True,70,0,0,0,1,0,0,0,1,0,0,0,5,3.4,14,7,2.4,1,0.04,0.11,0.15,0.48,10
Cash,AVL,DEF,MrCanter,True,59,0,0,0,1,0,0,0,0,0,0,0,1,14.4,0.8,0,1.5,1,0,0,0,0.93,10
Matheus N.,MCI,MID,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,15,25.4,65.4,22,11.3,1,0,0.48,0.48,2.04,10
Saka,ARS,MID,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,9,7.4,22.9,17,4.7,1,0.2,0.25,0.45,0.53,10
Gordon,NEW,MID,MrCanter,True,84,0,1,1,0,0,0,0,0,0,0,0,24,28,27.6,4,6,1,0,0.16,0.16,0.72,10
Mbeumo,BRE,MID,MrCanter,True,86,0,0,1,0,0,0,0,0,0,0,0,8,3.4,2.1,0,0.6,1,0,0.01,0.01,0.9,10
Archer,SOU,FWD,MrCanter,True,90,0,0,1,0,0,0,0,0,0,0,0,7,3.6,11.2,10,2.5,1,0.06,0.03,0.09,1.56,10
Wood,NFO,FWD,MrCanter,True,78,1,0,1,0,0,0,0,0,0,0,1,37,36.4,5,36,7.7,1,0.78,0.01,0.79,0.13,10
Johnstone,WOL,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Sancho,CHE,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Muniz,FUL,FWD,MrCanter,False,17,0,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0.41,10
Hall,NEW,DEF,MrCanter,False,90,0,0,1,0,0,0,0,0,0,0,2,33,33.6,2,0,3.6,1,0,0.01,0.01,1.05,10
Vicario,TOT,GKP,MrCanter,True,90,0,0,0,2,0,0,0,0,0,1,0,1,12,0,0,1.2,1,0,0,0,1.74,11
Aït-Nouri,WOL,DEF,MrCanter,True,90,0,0,1,0,0,0,0,0,0,0,0,19,11.2,1.8,13,2.6,1,0.09,0.08,0.17,0.66,11
Mitchell,CRY,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,6,14,12.6,4,3.1,1,0,0.11,0.11,1.83,11
J.Timber,ARS,DEF,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,3,12,1.5,1,1.5,1,0.04,0.01,0.05,1.28,11
Hall,NEW,DEF,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,13,19.4,5.8,8,3.3,1,0,0.08,0.08,0.63,11
Matheus N.,MCI,MID,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,8,3.2,14.1,6,2.3,1,0,0.03,0.03,2.29,11
Saka,ARS,MID,MrCanter,True,80,0,0,0,1,0,0,0,0,0,0,0,3,1.4,3.4,9,1.4,1,0.03,0.01,0.04,1.24,11
Gordon,NEW,MID,MrCanter,True,79,0,0,0,1,0,0,0,0,0,0,0,14,11.8,44.7,37,9.4,1,0.23,0.39,0.62,0.6,11
Mbeumo,BRE,MID,MrCanter,True,90,0,1,0,2,0,0,0,0,0,0,0,14,19,15.8,4,3.9,1,0.09,0.25,0.34,2.17,11
Archer,SOU,FWD,MrCanter,True,72,0,0,0,2,0,0,0,0,0,0,0,3,0.2,0.6,0,0.1,1,0,0,0,1.23,11
Wood,NFO,FWD,MrCanter,True,90,0,0,0,3,0,0,0,0,0,0,0,7,9.8,25.1,2,3.7,1,0,0.01,0.01,1.7,11
Johnstone,WOL,GKP,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Sancho,CHE,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Muniz,FUL,FWD,MrCanter,False,15,0,0,0,0,0,0,0,0,0,0,0,2,0,1.3,0,0.1,0,0,0,0,0.04,11
Cash,AVL,DEF,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Arrizabalaga,BOU,GKP,MrCanter,True,90,0,0,0,2,0,0,0,0,0,2,0,6,17.8,0.1,0,1.8,1,0,0,0,0.94,12
J.Timber,ARS,DEF,MrCanter,True,87,0,0,1,0,0,0,0,0,0,0,0,25,4.4,22.8,10,3.7,1,0.05,0.05,0.1,0.27,12
Cash,AVL,DEF,MrCanter,True,45,0,0,0,0,0,0,0,0,0,0,0,10,8,3.7,4,1.6,0,0,0.02,0.02,0.43,12
Aït-Nouri,WOL,DEF,MrCanter,True,90,0,0,0,1,0,0,0,0,0,0,0,20,30,2.5,4,3.7,1,0,0.01,0.01,1.03,12
Hall,NEW,DEF,MrCanter,True,90,0,0,0,2,0,0,0,0,0,0,0,9,24.6,32.7,17,7.4,1,0.1,0.23,0.33,0.91,12
Saka,ARS,MID,MrCanter,True,82,1,1,1,0,0,0,0,1,0,0,3,51,60,51.3,66,17.7,1,0.29,0.24,0.53,0.27,12
Gordon,NEW,MID,MrCanter,True,67,0,0,0,2,0,0,0,0,0,0,0,5,4.4,18.3,27,5,1,0.43,0.12,0.55,0.63,12
Mbeumo,BRE,MID,MrCanter,True,90,0,0,1,0,0,0,0,0,0,0,0,6,19.8,25.8,10,5.6,1,0,0.12,0.12,1.2,12
Sancho,CHE,MID,MrCanter,True,5,0,0,0,1,0,0,0,0,0,0,0,3,1,0.3,0,0.1,0,0,0,0,0.79,12
Wood,NFO,FWD,MrCanter,True,27,0,0,0,1,0,0,0,0,0,0,0,2,2.4,1.6,6,1,0,0,0,0,0.27,12
Archer,SOU,FWD,MrCanter,True,13,0,0,0,1,0,0,0,0,0,0,0,3,1.2,2.1,2,0.5,0,0,0,0,1.19,12
Vicario,TOT,GKP,MrCanter,False,90,0,0,1,0,0,0,0,0,0,5,1,34,40.4,0,0,4,1,0,0,0,2.14,12
Matheus N.,MCI,MID,MrCanter,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Muniz,FUL,FWD,MrCanter,False,19,0,0,0,2,0,0,0,0,0,0,0,2,2,10.6,6,1.9,0,0,0.06,0.06,0.41,12
Mitchell,CRY,DEF,MrCanter,False,90,0,0,0,2,0,0,0,1,0,0,0,0,6.2,14.8,6,2.7,1,0.04,0.07,0.11,3.11,12
Forster,TOT,GKP,MrCanter,True,90,0,0,0,1,0,0,0,0,0,5,0,13,43.6,0,0,4.4,1,0,0,0,1.38,13
Aït-Nouri,WOL,DEF,MrCanter,True,90,0,0,0,4,0,0,0,0,0,0,0,2,21,9.1,10,4,1,0.05,0.03,0.08,3.29,13
